,amount,v1,v2,v3,v4,v5,v6,v7,time,class
0,330.61,-0.34,2.16,2.77,1.46,-0.23,0.14,-0.22,303,0
1,157.33,-4.68,-1.49,-1.88,1.77,-0.85,-0.5,1.19,254,0
2,311.03,-2.9,2.17,-0.07,1.83,0.66,0.35,0.21,165,0
3,374.31,-4.32,-2.02,-1.5,-0.93,0.89,0.98,-0.06,430,0
4,94.69,-3.73,0.87,2.07,0.97,-0.9,0.95,1.62,375,0
5,401.11,0.14,-1.19,-2.02,1.69,-0.81,-1.61,-0.96,251,0
6,232.55,-4.86,-2.46,0.1,1.3,0.64,-2.77,-0.57,469,0
7,199.15,1.88,1.75,1.73,-0.11,0.19,-0.23,0.02,163,0
8,274.41,-2.77,0.48,-2.45,1.72,0.87,-0.26,1.27,470,0
9,240.41,-0.55,-2.77,-0.19,1.38,0.29,-0.19,-0.56,258,0
10,377.46,-3.65,-1.68,2.11,1.96,-0.01,0.63,1.21,391,0
11,479.68,2.98,2.35,1.68,1.64,-0.64,0.07,2.0,17,0
12,0.41,-0.23,-2.17,1.04,0.39,0.61,-2.91,1.52,312,0
13,302.36,1.56,-0.34,-0.47,0.86,0.74,-2.3,0.57,244,0
14,31.39,-0.4,2.9,-1.67,0.2,0.36,0.09,-0.43,371,0
15,511.86,-1.75,1.3,-1.53,0.02,0.47,-2.2,-0.16,459,0
16,510.47,0.16,0.89,2.72,-0.14,0.04,-1.46,-0.17,31,0
17,209.67,-1.7,1.83,0.06,-0.4,0.17,-2.34,-0.82,314,0
18,398.6,1.76,-1.33,-2.93,1.42,-0.24,-1.09,0.83,202,0
19,274.28,-2.68,-1.06,-1.08,1.94,-0.81,-1.01,-0.28,52,0
20,45.09,-1.05,-2.95,2.65,1.68,-0.15,-1.33,-0.72,147,0
21,497.69,-0.38,-0.14,-2.55,0.97,0.07,-0.7,-0.22,81,0
22,383.25,-1.44,1.58,-2.35,-0.64,-0.14,0.89,1.64,462,0
23,406.77,2.85,2.98,0.42,0.01,0.71,0.48,1.04,212,0
24,237.85,0.13,1.48,1.67,1.64,0.49,-0.56,1.78,252,0
25,262.9,-2.99,-0.3,1.64,1.12,-0.15,-2.63,-0.07,51,0
26,417.04,-1.25,-0.38,0.89,1.21,0.11,0.43,1.7,28,0
27,232.9,-3.38,-2.76,0.94,-0.9,-0.57,-0.83,0.96,395,0
28,313.39,-4.58,-2.84,-0.64,0.43,-0.03,0.65,1.13,388,0
29,475.82,-1.04,-2.42,-0.78,-0.06,-0.05,-2.38,-0.77,303,0
30,47.38,-3.21,0.03,-2.7,1.12,-0.47,0.88,-0.66,322,0
31,355.08,-3.47,-2.63,2.6,0.22,0.56,-2.08,0.96,340,0
32,286.11,1.14,-1.27,2.3,0.9,0.14,-0.28,-0.77,247,0
33,401.89,1.64,-0.35,0.34,1.21,-0.42,-0.65,2.0,98,0
34,162.98,-3.07,1.53,1.07,0.83,-0.01,-1.43,0.35,53,0
35,183.27,0.65,1.9,1.82,1.22,0.64,0.03,1.34,227,0
36,7.03,0.83,-0.1,-2.49,0.26,0.9,-1.26,-0.44,269,0
37,254.57,2.63,-1.22,0.53,-0.88,0.69,-2.63,-0.92,183,0
38,128.54,-1.44,-0.87,-0.87,-0.65,-0.35,-0.07,0.86,399,0
39,352.47,-3.89,-0.73,-0.37,1.89,0.5,-0.02,-0.13,448,0
40,27.45,1.28,0.05,1.04,0.88,-0.62,0.58,0.75,314,0
41,482.24,-4.65,0.57,2.92,1.91,-1.0,-0.2,1.09,125,0
42,278.97,-2.91,-2.0,-2.85,0.81,0.76,0.92,1.04,293,0
43,70.03,0.28,1.32,-1.3,0.58,-0.0,-1.34,0.02,287,0
44,186.08,1.91,-2.5,-1.94,0.71,0.23,-1.14,0.69,43,0
45,50.72,-2.11,0.25,-2.26,1.79,-0.09,0.85,-0.41,318,0
46,468.81,-2.15,-2.49,1.22,0.36,-0.55,0.78,-0.92,469,0
47,385.17,0.47,-2.4,-0.63,-0.09,-0.51,0.15,0.55,264,0
48,374.02,-0.95,-2.13,-1.2,1.46,-0.83,-2.95,0.49,377,0
49,482.8,-3.56,2.78,2.74,0.06,0.09,-0.03,-0.07,92,0
50,259.35,-4.18,1.94,-1.72,1.5,0.69,-2.01,-0.73,296,0
51,505.4,-4.27,0.74,-0.89,1.28,0.86,0.87,0.99,236,0
52,42.58,1.35,1.46,2.62,-0.67,-0.54,-1.04,-0.77,69,0
53,24.22,1.04,0.98,2.44,2.0,-0.66,0.42,1.27,454,0
54,320.98,0.29,0.68,-2.4,0.4,0.36,-1.49,1.63,95,0
55,161.99,-1.75,-1.09,-2.88,1.74,0.85,-0.3,-0.98,162,0
56,43.37,-0.54,1.26,-2.0,1.4,0.13,-0.63,0.39,491,0
57,8.61,-1.55,2.44,-1.67,0.62,0.63,-2.52,-0.19,320,0
58,153.98,2.58,0.41,1.21,0.18,-0.79,0.42,-0.05,225,0
59,175.56,-2.69,0.64,1.58,1.26,-0.32,-0.51,-0.5,71,0
60,145.11,1.23,-1.96,-1.54,0.99,0.89,0.63,1.66,67,0
61,109.16,-3.25,2.31,-2.62,1.1,0.89,0.21,1.66,42,0
62,49.97,1.52,-1.93,1.52,0.24,0.25,-2.91,-0.74,219,0
63,505.57,2.0,-0.14,-0.72,1.23,0.86,-2.53,1.29,1,0
64,255.33,-1.99,0.69,-2.82,1.54,0.6,-0.85,1.38,91,0
65,156.02,-4.37,0.73,0.17,-0.25,-0.52,-2.04,0.19,471,0
66,457.71,-0.91,-1.71,0.63,1.7,-0.01,-0.59,1.7,433,0
67,247.41,2.61,1.06,-1.95,0.52,0.46,-1.33,0.81,245,0
68,264.29,1.54,2.34,2.44,1.08,-0.97,0.88,-0.03,360,0
69,102.3,-3.95,-2.77,-0.15,-0.18,0.89,0.54,0.11,362,0
70,413.67,0.74,1.64,-1.95,0.02,-0.59,-2.08,-0.85,41,0
71,308.89,-4.02,1.18,-2.12,1.63,0.32,-2.38,-0.44,182,0
72,344.87,-2.96,-2.79,2.28,1.16,0.01,-2.28,-0.59,142,0
73,143.94,0.48,0.82,1.91,-0.77,0.06,-0.27,-0.71,175,0
74,373.1,2.21,0.28,0.05,-0.09,-0.49,-2.46,1.63,465,0
75,167.8,2.28,1.65,2.85,0.72,0.9,0.38,0.42,337,0
76,160.53,-2.26,-0.8,0.56,-0.9,0.06,-0.63,0.99,268,0
77,432.52,1.93,-0.09,-2.89,0.48,0.17,-1.06,1.77,277,0
78,364.79,-4.03,0.75,1.16,-0.56,-0.65,-1.66,0.5,124,0
79,398.49,-2.76,1.02,1.59,-0.17,-0.81,-0.1,-0.29,231,0
80,19.2,0.21,1.69,-0.99,1.32,0.69,-1.21,1.5,98,0
81,341.19,-3.78,0.69,-0.06,1.16,-0.82,-0.63,0.85,455,0
82,471.1,-0.74,0.49,-1.15,0.04,0.23,0.56,1.12,208,0
83,256.64,-3.07,1.06,-0.52,-0.38,-0.43,0.51,-0.01,79,0
84,43.56,-1.15,2.69,1.12,1.2,-0.26,-1.65,0.63,203,0
85,404.55,2.06,0.37,0.08,1.42,-0.33,-1.48,-0.09,262,0
86,28.43,-1.49,-2.85,-1.72,0.7,-0.2,-2.17,1.81,456,0
87,174.62,-4.44,-0.86,-1.23,0.7,-0.72,0.64,-0.46,474,0
88,507.85,-4.2,-2.11,-1.6,1.22,0.97,0.57,0.95,36,0
89,496.84,1.33,2.46,1.93,-0.19,-0.49,-1.19,-0.69,456,0
90,126.49,-4.87,1.35,1.0,1.85,0.85,-1.05,0.44,221,0
91,135.58,0.35,2.67,-2.1,1.34,0.77,-1.26,0.28,300,0
92,328.29,-4.49,0.49,0.81,0.18,-0.37,0.22,0.23,27,0
93,119.47,-0.43,1.52,-0.74,0.34,-0.21,-0.25,1.77,9,0
